cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 10, 30, 1.0, 0.7, 0.2713090209258545, 2952
10, 10, 30, 2.0, 0.01, 0.04897591916029666, 9672
10, 10, 30, 2.0, 0.09, 0.048582878815247525, 9672
10, 10, 30, 2.0, 0.3, 0.029915503824626155, 9672
10, 10, 30, 2.0, 0.5, 0.2713090209258545, 4872
10, 10, 30, 2.0, 0.7, 0.2713090209258545, 2952
10, 10, 30, 2.5, 0.01, 0.044919621135408684, 9672
10, 10, 30, 2.5, 0.09, 0.044561517769336534, 9672
10, 10, 30, 2.5, 0.3, 0.022084725399881208, 9672
10, 10, 30, 2.5, 0.5, 0.2713090209258545, 4872
10, 10, 30, 2.5, 0.7, 0.2713090209258545, 2952
10, 10, 70, 0.2, 0.01, 0.07324208652433456, 9672
10, 10, 70, 0.2, 0.09, 0.07643932302340445, 9672
